County,State,CountyFIPS,Obesity,Diabetes,Physical Inactivity,Poverty
Autauga County,Alabama,1001,37.6,13,30.3,14.7
Baldwin County,Alabama,1003,31.3,9.3,22.6,18.5
Barbour County,Alabama,1005,44.7,16.2,27.4,12.7
Bibb County,Alabama,1007,37.9,13.7,34.1,12.9
Blount County,Alabama,1009,34.6,12.4,27.3,32.0
Bullock County,Alabama,1011,39.3,18.3,28.4,22.2
Butler County,Alabama,1013,40.9,15.4,33.5,14.7
Calhoun County,Alabama,1015,37.3,14.5,29.2,39.6
Chambers County,Alabama,1017,40.8,14.6,31,25.8
Cherokee County,Alabama,1019,36.9,10.8,29.9,20.0
Chilton County,Alabama,1021,35.3,13.2,30.3,22.4
Choctaw County,Alabama,1023,41.7,13,30.8,19.4
Clarke County,Alabama,1025,40,15.9,31,20.2
Clay County,Alabama,1027,38.2,12.1,29,24.4
Cleburne County,Alabama,1029,34.9,11,27.3,22.2
Coffee County,Alabama,1031,33.5,13.3,29.3,18.4
Colbert County,Alabama,1033,32.7,15,31.6,18.9
Conecuh County,Alabama,1035,39.4,16,32.9,16.2
Coosa County,Alabama,1037,40.8,15.4,29.2,18.1
Covington County,Alabama,1039,33.9,12.3,31.2,28.3
Crenshaw County,Alabama,1041,38.7,13.6,28.6,20.3
Cullman County,Alabama,1043,34.7,14.4,32.1,22.3
Dale County,Alabama,1045,37.6,14.3,28,19.9
Dallas County,Alabama,1047,42.4,14.4,26.9,19.4
Dekalb County,Alabama,1049,30.5,10.8,29.3,18.5
Elmore County,Alabama,1051,36.1,13.5,27.2,34.6
Escambia County,Alabama,1053,38.6,16.3,29,20.6
Etowah County,Alabama,1055,36.4,13.2,32,14.0
Fayette County,Alabama,1057,38.4,13,32.8,24.4
Franklin County,Alabama,1059,33.2,12.3,32.6,19.0
Geneva County,Alabama,1061,38.8,13.5,30.8,20.4
Greene County,Alabama,1063,42.4,15.6,26.7,21.1
Hale County,Alabama,1065,42.2,13.6,29.5,22.4
Henry County,Alabama,1067,38.5,13.7,30.6,37.7
Houston County,Alabama,1069,36,12.8,27.8,28.5
Jackson County,Alabama,1071,37.7,13.5,28.8,17.0
Jefferson County,Alabama,1073,32.9,12.1,27.3,18.3
Lamar County,Alabama,1075,35.9,12.8,34.6,18.4
Lauderdale County,Alabama,1077,34.9,12.4,27,18.0
Lawrence County,Alabama,1079,35.1,12.8,33.5,24.7
Lee County,Alabama,1081,31.5,10.1,22.4,17.3
Limestone County,Alabama,1083,33.5,11.3,26.5,18.7
Lowndes County,Alabama,1085,46.6,15.4,31.6,21.0
Macon County,Alabama,1087,46.9,17.2,30,14.3
Madison County,Alabama,1089,31.8,11.8,21.3,35.2
Marengo County,Alabama,1091,41.2,16.1,30.1,32.2
Marion County,Alabama,1093,37.4,14.9,29.8,13.3
Marshall County,Alabama,1095,33.2,10.9,31.7,23.3
Mobile County,Alabama,1097,37.1,13.5,27.6,19.8
Monroe County,Alabama,1099,39.6,14.7,30.2,20.1
Montgomery County,Alabama,1101,36.5,12.6,25.5,18.4
Morgan County,Alabama,1103,31.5,11.7,26,28.6
Perry County,Alabama,1105,45.5,17.6,33.5,22.8
Pickens County,Alabama,1107,36.2,14.3,26.5,16.4
Pike County,Alabama,1109,43.1,12.9,26.1,40.0
Randolph County,Alabama,1111,37.3,12.6,28.8,24.3
Russell County,Alabama,1113,40.4,12.6,30.4,25.9
Shelby County,Alabama,1117,32.8,8.6,21.6,18.7
St. Clair County,Alabama,1115,35.8,10.9,28.5,23.0
Sumter County,Alabama,1119,43.3,18,31.1,12.4
Talladega County,Alabama,1121,41,14.6,32,8.5
Tallapoosa County,Alabama,1123,34.6,13.1,28.9,33.2
Tuscaloosa County,Alabama,1125,34.1,12.7,26.8,22.4
Walker County,Alabama,1127,38.6,12.4,31.7,21.7
Washington County,Alabama,1129,40.9,14.6,30,20.0
Wilcox County,Alabama,1131,44.9,16.7,33.5,20.6
